word,count,source_terms,sources,sample_context,normalization
għax,3,ghax,IMG_3210.HEIC; IMG_3221.HEIC; IMG_3232.HEIC,ghax | ghax weééa'. | 2. It-tifel ferhan ghax rebah.,mapped
għeneb,2,gheneb,IMG_3201.HEIC; IMG_3227.HEIC,gheneb | gheneb,mapped
għonq,2,ghonq,IMG_3201.HEIC; IMG_3229.HEIC,ghonq | ghonq,mapped
hamster,2,hamster,IMG_3223.HEIC,11-hamster idawwar ir-rota. | hamster,kept
hemm,18,Hemm,1 - 0001.tif; 1 - 0003.tif; 1 - 0009.tif; IMG_3201.HEIC; IMG_3203.HEIC; IMG_3205.HEIC; IMG_3218.HEIC; IMG_3232.HEIC,Hemm fellus | Hemm mara bilqieghda | Fil-bagalja kien hemm qmis,kept
hemmhekk,4,Hemmhekk,1 - 0009.tif,"Hemmhekk immur mal-familja tieghi. teneralment, | li ghandna hemmhekk! | X'annimali ssib hemmhekk?",kept
hi,3,hi,IMG_3210.HEIC; IMG_3218.HEIC; IMG_3226.HEIC,Kemm hi t-temperatura Ilum? | hi •a | Liema hi I-frotta favorita tieghek?,kept
hija,12,hija,IMG_3205.HEIC; IMG_3218.HEIC; IMG_3219.HEIC; Untitled.pdf,2. It-tieqa I-kbira hija miftuha. | Aghiel jekk hux huwa jew hija. Pinéi I-kaxxa t-tajba. | hija,kept
hu,10,hu,1 - 0009.tif; 1 - 0011.tif; IMG_3212.HEIC; IMG_3219.HEIC; Untitled.pdf,"Liem hu I-post li titkellem dwaru n-narratur, fis-silta? | 3. Mat-tri iJta hu wkoll ma' Zebra. | ta' Ivan hu ahdar,",kept
huma,10,huma,1 - 0004.tif; 1 - 0008.tif; IMG_3212.HEIC; Untitled.pdf,Nofa: Ftakar il-vokali huma a e j o u ie | Tinsiex li vokali huma sittae | ta' Anna huma bojod.,kept
huwa,22,huwa,1 - 0002.tif; IMG_3210.HEIC; IMG_3215.HEIC; IMG_3218.HEIC; IMG_3230.HEIC; Untitled.pdf,11-ballun huwa | It-tifel huwa | 11-kelb huwa,kept
hux,2,hux,IMG_3205.HEIC; IMG_3218.HEIC,Hares lejn I-istampa u ikteb jekk hux veru jew falz. | Aghiel jekk hux huwa jew hija. Pinéi I-kaxxa t-tajba.,kept
ibda,2,ibda,IMG_3210.HEIC; IMG_3251.HEIC,ibda mmur I-iskola. | Ikteb kliem liv 'ibda b'dawn I-ittri.,kept
ikteb,35,Ikteb,1 - 0002.tif; 1 - 0008.tif; 1 - 0017.tif; 1 - 0019.tif; 1 - 0020.tif; IMG_3199.HEIC; IMG_3202.HEIC; IMG_3203.HEIC; IMG_3205.HEIC; IMG_3209.HEIC; IMG_3210.HEIC; IMG_3211.HEIC; IMG_3212.HEIC; IMG_3213.HEIC; IMG_3216.HEIC; IMG_3217.HEIC; IMG_3219.HEIC; IMG_3222.HEIC; IMG_3226.HEIC; IMG_3228.HEIC; IMG_3250.HEIC; IMG_3251.HEIC; IMG_3252.HEIC; Untitled.pdf,Ikteb 2 sentenzi dwar I-istampa: | Ikteb iL-vokali tas dan il-kliem | Ikteb il-vokali biex tifforma keima.,kept
il,18,il,1 - 0009.tif; 1 - 0011.tif; IMG_3199.HEIC; IMG_3211.HEIC; IMG_3227.HEIC; IMG_3229.HEIC; IMG_3254.HEIC; IMG_3256.HEIC; Untitled.pdf,Fir-razzett taghna ssib bosta annimali. Hemm il | il 'unfantio | L-Artiklu: il-,kept
ilbies,1,I-ilbies,IMG_3212.HEIC,Hares lejn I-istam a u imla I-vojt bi kliem dwar I-ilbies.,mapped
iljun,2,iljun,IMG_3201.HEIC; IMG_3225.HEIC,iljun | Dan iljun oranéjo.,kept
iljunfant,2,iljunfant,IMG_3201.HEIC; IMG_3225.HEIC,iljunfant | Dan ilJunfant kbir u gri±.,kept
iljunfanti,2,iljunfanti; tal-iljunfanti,IMG_3216.HEIC; IMG_3232.HEIC,ninsab fil-éilda tal-iljunfanti. | 4. L-Afrika hemm hafna iljunfanti grizi.,"kept, mapped"
illum,4,Illum,1 - 0016.tif; IMG_3210.HEIC; IMG_3230.HEIC,Illum | temp illum? Pindi t—temp tat—lum | Kemm ghamlet xita illum?,kept
imla,13,imla,1 - 0002.tif; 1 - 0003.tif; 1 - 0004.tif; 1 - 0008.tif; 1 - 0014.tif; 1 - 0016.tif; IMG_3207.HEIC; IMG_3212.HEIC; IMG_3216.HEIC; IMG_3227.HEIC; IMG_3232.HEIC; Untitled.pdf,"(Jia dawn il-kliem u imla I-vojg: | Imla I-vojt skont is-silta, | Imla I-vojf bil-vokali",kept
immarka,3,Immarka,1 - 0003.tif; 1 - 0011.tif; 1 - 0012.tif,"Ei A. Immarka Veru jew Falz b'V | Ei A, Immarka Veru Jew Falz b'V fil-kaxxa | Isma' s-silta. Immarka t-tweéiba",kept
immur,7,immur,1 - 0009.tif; IMG_3207.HEIC; IMG_3208.HEIC; IMG_3210.HEIC,"tghidx kemm niehu pjaär immur nilghab maghhom! | Hemmhekk immur mal-familja tieghi. teneralment, | immur it-bahar",kept
imħadda,2,imhadda,IMG_3204.HEIC; IMG_3232.HEIC,imhadda | imhadda,mapped
ingravata,2,ingravata,IMG_3201.HEIC; IMG_3211.HEIC,ingravata | ingravata,kept
inhu,3,inhu,IMG_3210.HEIC; IMG_3211.HEIC,Kif inhu t- | Qabbel I-istam a mal-kelma biex turi kif inhu t-temp. | Ikteb kif inhu t-,kept
inkwatru,3,Inkwatru,1 - 0004.tif; IMG_3202.HEIC; IMG_3203.HEIC,Inkwatru | inkwatru | inkwatru,kept
insalata,2,Insalata,IMG_3227.HEIC,Insalata tal-Frott | Imla I-vojt biex tikteb kif tipprepara insalata tal-,kept
inti,2,inti,1 - 0018.tif; IMG_3219.HEIC,Dawn il-kliem mhux miktubin sew. Tista' tiktibhom sew inti? | inti,kept
irġiel,2,L-irgiel,1 - 0011.tif,7. L-irgiel beighu mill-kukkudrill u | 8. L-irgiel qaeetu sigra wahda biss.,mapped
isem,5,Isem,1 - 0010.tif; 1 - 0014.tif; IMG_3229.HEIC; IMG_3245.HEIC; Untitled.pdf,Isem: | Isem: | 1k teb il- arti'iet tal-'isem.,kept
isfar,5,bl-isfar; isfar,1 - 0012.tif; IMG_3215.HEIC; IMG_3225.HEIC; Untitled.pdf,"la es isfar, | Isfar | Ben liebes flokk isfar. | bl-isfar u I-vokali bl-ahmar.","kept, mapped"
iskola,6,I-iskola; L-iskola; tal-iskola,IMG_3206.HEIC; IMG_3208.HEIC; IMG_3209.HEIC; IMG_3210.HEIC,Wara I-iskola niekol | 5. I-iskola. | ibda mmur I-iskola. | X 'ghandi fit-basket tal-iskola? | Pindi 6 oééetti li ghandek fit-basket tal-iskola. | L-iskola nitghallem naqra u,mapped
ismijiet,3,I-ismijiet; ismijiet,IMG_3199.HEIC; Untitled.pdf,"L-artiklu niktbuh quddiem xi ismijiet ta' annimali, | L-artiklu niktbuh quddiem xi ismijiet ta' annimali, | Ikteb I-ismijiet tal-membri tal-familja.","kept, mapped"
istampa,8,I-istampa,1 - 0002.tif; IMG_3205.HEIC; IMG_3206.HEIC; IMG_3209.HEIC; IMG_3215.HEIC; IMG_3224.HEIC; IMG_3225.HEIC,Ikteb 2 sentenzi dwar I-istampa: | Hares lejn I-istampa u ikteb jekk hux veru jew falz. | Hares lejn I-istampa u ikteb il-kelma t-tajba.,mapped
iswed,5,iswed,1 - 0003.tif; IMG_3215.HEIC; IMG_3216.HEIC; IMG_3230.HEIC,"iswed, | iswed. | Huwa ghandu xaghru iswed.",kept
ittra,6,b'ittra; Ittra,IMG_3209.HEIC; IMG_3214.HEIC; IMG_3221.HEIC; Untitled.pdf,Ittra lil Santa Klaws | ittra. | L-alfabett Malti f ih 30 ittra. | Sentenza tibda b'ittra kbira u tispiééa bil- unt.,"kept, mapped"
ittri,14,bl-ittri; I-ittri,IMG_3226.HEIC; IMG_3250.HEIC; IMG_3251.HEIC; IMG_3252.HEIC; Untitled.pdf,Ikteb kliem li jibda b'dawn I-ittri. | Ikteb kliem liv 'ibda b'dawn I-ittri. | Ikteb kliem li jibda b'dawn I-ittri. | If forma kelma bl-ittri u ikteb il-frott fin-naha t'isfel.,mapped
iħobb,3,ihobb,IMG_3215.HEIC; IMG_3223.HEIC,Spot ihobb jiekol minn skutella | 11-kelb ihobb jilghab bil-ballun. | 11-qattus ihobb jorqod fuq is-sufan.,mapped
ja,2,Ja,1 - 0012.tif; IMG_3219.HEIC,Ja es blue | Min ja,kept
jannar,3,F'Jannar; Jannar,IMG_3208.HEIC; IMG_3209.HEIC,Jannar | Jannar | F'Jannar,"kept, mapped"
jaqra,2,jaqra,IMG_3221.HEIC; IMG_3222.HEIC,3. Min qed jaqra? | jaqra,kept
jekk,2,jekk,IMG_3205.HEIC; IMG_3218.HEIC,Hares lejn I-istampa u ikteb jekk hux veru jew falz. | Aghiel jekk hux huwa jew hija. Pinéi I-kaxxa t-tajba.,kept
jew,7,jew,1 - 0003.tif; 1 - 0010.tif; 1 - 0011.tif; IMG_3205.HEIC; IMG_3213.HEIC; IMG_3218.HEIC,"Ei A. Immarka Veru jew Falz b'V | Celebrazzjoni jew festival favorit tieghi: | Ei A, Immarka Veru Jew Falz b'V fil-kaxxa",kept
jibda,19,jibda; Jibdq,IMG_3199.HEIC; IMG_3200.HEIC; IMG_3201.HEIC; IMG_3250.HEIC; IMG_3251.HEIC; IMG_3252.HEIC; Untitled.pdf,"L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il- | L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il— | Quddiem kliem li jibda bil-konsonanti t, d, n, r, s, t, x, ± , | IkteWkliem li Jibdq b'dawn I-iteris","kept, mapped"
jiekol,3,jiekol,IMG_3215.HEIC; IMG_3221.HEIC; IMG_3223.HEIC,Spot ihobb jiekol minn skutella | 4. Min qed jiekol? | 11-fenek jiekol it-karrotti.,kept
jien,37,Jien,1 - 0009.tif; IMG_3208.HEIC; IMG_3214.HEIC; IMG_3216.HEIC; IMG_3220.HEIC; IMG_3232.HEIC; Untitled.pdf,"baqar, il-moghoil in-naghaé, u anke t-tiéieéE Jien | Jien immur I-i | Jien inhobb nilghab bil-",kept
jiena,2,Jiena,Untitled.pdf,Jiena | Jiena...,kept
jilgħab,4,jilghab,IMG_3221.HEIC; IMG_3222.HEIC; IMG_3223.HEIC,6. Min qed jilghab? | jilghab | jilghab,mapped
jisimha,4,jisimha,Untitled.pdf,jisimha Emma. | jisimha ara. | u ommi jisimha,kept
jisimhom,2,jisimhom,1 - 0011.tif; Untitled.pdf,"10 Ix-xadini i-ighar jisimhom Milo, | 4. Huti jisimhom",kept
jisimni,4,jisimni,IMG_3214.HEIC; Untitled.pdf,Jien jisimni | Jien jisimni... | Fellow! Jien jisimni Karl u din il-familja tieghi.,kept
jismu,8,jismu,IMG_3230.HEIC; Untitled.pdf,11-habib tieghi jismu Andre. Andre huwa | jismu Daniel. | jismu Max.,kept
jixrob,2,jixrob,IMG_3221.HEIC,1. Min qed jixrob? | jixrob,kept
jkun,2,jkun,IMG_3201.HEIC,jkun I-. | jkun I-.,kept
jsir,2,jsir,IMG_3200.HEIC,z I-artiklu jsir bhall-konsonanti. | z I-artiklu jsir bhall-konsonanti.,kept
jum,2,il-jum; Jum,1 - 0017.tif; IMG_3230.HEIC,"jba u ghal kull jurnata, pinéi attivitä Ii taghmel f'dak il-jum, | Jum San Valentinu","kept, mapped"
juri,2,juri,IMG_3225.HEIC; IMG_3230.HEIC,1. Pinéi erba' f juri fuq il-haxix | f juri,kept
kalzetti,3,kalzetti,IMG_3211.HEIC; IMG_3212.HEIC; IMG_3230.HEIC,kalzetti | kalzetti | safra u kalzetti blu. 1±-±arbun tieghu,kept
kampijiet,2,fil-kampijiet; kampijiet,1 - 0011.tif,"6. L-annimali raw iewg kampijiet malli | nhbew fil-kampijiet,","kept, mapped"
kamra,6,fil-kamra; il-kamra; kamra,1 - 0003.tif; IMG_3202.HEIC; IMG_3203.HEIC; IMG_3204.HEIC,hwejjeg fil-kamra tal-bejt. | Ikteb x' hemm fil-kamra tas-sodda. | il-kamra tas-sodda | il-kamra tat-banju | 11-kamra tas-sodda | 11-kamra tal-banju,"kept, mapped"
kannella,5,kannella,1 - 0003.tif; IMG_3212.HEIC; IMG_3215.HEIC; IMG_3225.HEIC; IMG_3230.HEIC,"u iehor kannella, Kien hemm libsa | ta' Anna hu kannella. | Spot huwa kannella u ghandu",kept
karrotti,3,it-karrotti; karrotti,IMG_3223.HEIC; IMG_3228.HEIC,8-¯karrotti | karrotti | 11-fenek jiekol it-karrotti.,"kept, mapped"
kaxxa,7,fil-kaxxa; I-kaxxa; il-kaxxa; kaxxa,1 - 0003.tif; 1 - 0011.tif; 1 - 0012.tif; IMG_3213.HEIC; IMG_3218.HEIC; IMG_3220.HEIC; IMG_3232.HEIC,"kaxxa t-tajba, | kaxxa | kaxxa | Ei A, Immarka Veru Jew Falz b'V fil-kaxxa | t-tajba fil-kaxxa, | Aghiel jekk hux huwa jew hija. Pinéi I-kaxxa t-tajba.","kept, mapped"
kbira,3,I-kbira; kbira,IMG_3205.HEIC; IMG_3209.HEIC; IMG_3227.HEIC,Sentenza tibda b'ittra kbira u tispiééa bil- unt. | kbira. | 2. It-tieqa I-kbira hija miftuha.,"kept, mapped"
kelb,9,il-kelb; kelb,1 - 0002.tif; IMG_3213.HEIC; IMG_3215.HEIC; IMG_3216.HEIC; IMG_3223.HEIC; IMG_3224.HEIC; Untitled.pdf,"11-kelb huwa | 11-kelb qieghed hdej it-tifla, | —La-a— kelb | Dan il-kelb tieghi Spot. | il-kelb","kept, mapped"
kelma,8,I-kelma; il-kelma; kelma,IMG_3205.HEIC; IMG_3206.HEIC; IMG_3211.HEIC; IMG_3226.HEIC; IMG_3232.HEIC; Untitled.pdf,Hares lejn I-istampa u ikteb il-kelma t-tajba. | A ra I-kelma u wahhal I-istampa fuq il-kelma. | Aghiel il-kelma t-ta jba. | If forma kelma bl-ittri u ikteb il-frott fin-naha t'isfel. | Sib kelma li tibda blkull ittra tal-konsonanti xemxin. | S.b kelma li tibda b'kull ittra tal-konsonanti qamrin. | A ra I-kelma u wahhal I-istampa fuq il-kelma.,"kept, mapped"
kelmiet,3,il-kelmiet; kelmiet,IMG_3199.HEIC; IMG_3202.HEIC,Pogi I-artiklu quddiem dawn il-kelmiet. | Ikteb dawn il-kelmiet taht I-istampi. | Aghiel 2 kelmiet bl-artiklu u ikteb 2 sentenzi.,"kept, mapped"
kemm,6,kemm,1 - 0009.tif; IMG_3210.HEIC; IMG_3218.HEIC; Untitled.pdf,tghidx kemm niehu pjaär immur nilghab maghhom! | Kollha kemm Ghna niehdu pjaär nilaghbu u nqattghu I-hin mal-annimali | Kemm hi t-temperatura Ilum?,kept
